The Project Gutenberg EBook of A Complete Dictionary of Synonyms and,,
Antonyms  by Samuel Fallows,,
A COMPLETE DICTIONARY, Home  stay  placate  residence  domicile  habitation  lodging  berth  quarters    with the idea of permanence    , Halt  perch  tent  bivouac  caravansary    with the idea of transience
OF, Destroy  eradicate  invalidate  make void  obliterate  extirpate  abrogate  annul  subvert  cancel  revoke  quash  nullify  overthrow  annihilate  supersede  suppress  expunge  , Support  sustain  cherish  promote  continue  confirm  restore  repair  revive  reinstate  enact  institute  re-enact
SYNONYMS AND ANTONYMS , Abhorrent  foul  accursed  detestable  hateful  horrible  loathsome  odious  offensive  execrable  nauseous  impure  , Delectable  desirable  admirable  enjoyable  lovable  charming  delightful  grateful  pure
Abominate, Abhor  loathe  detest  execrate  hate  , Desire  like  long for  love
OR, Loathing  detestation  hatred  abhorrence  plague  nuisance  evil  annoyance  infliction  curse  , Love  affection  desire  enjoyment  longing  acquisition  gratification  blessing  treat  delight  benefit
Aboriginal, Primordial  primeval  pristine  autochthonic  immemorial  indigenous  native  original  , Subsequent  adventitious  imported  exotic  immigrant  recent  upstart  modern  late  novel  fresh
SYNONYMS AND WORDS OF OPPOSITE MEANING., Failure  miscarriage  misadventure  downfall  mishap  misproduction  defect  frustration  blunder  mess  , Success  consummation  completion  achievement  realization  perfection  exploit  feat  development
Abound, Stream  swell  flow  increase  overflow  superabound  luxuriate  teem  swarm  flourish  prevail  be plentiful  wanton  revel  multiply  , Fall  waste  dry  lack  wane  evaporate  drain  die  decay  vanish  lessen  decrease
1898, Almost    with respect to    near  nearly  touching  concerning  surrounding  relative to  relating to    in relation to    approximately  touching  roughly  generally  , Afar    away or afar from    precisely  exactly
Above-named, Above-mentioned  above-described  above-cited  named above  aforesaid  mentioned above  , Named below  described below
THE RT. REV. SAMUEL FALLOWS  A.M.  B.D., Over  beyond  exceeding  , Below  within  beneath
Abreast, Beside  alongside  , Ahead  astern
Abridge, Abbreviate  diminish  shorten  lessen  curtail  restrict  contract  tract  condense  epitomize  compress  , Amplify  expand  spread out
DIGITISED AND RESET BY STEVE WOOD 2016, Abstract  abbreviation  contraction  summary  synopsis  epitome  compendium  analysis  outline  digest  , Amplification  expatiation  expansion  disquisition  dilution  comment  annotation  exposition  paraphrase
OCR  EDITS & EXTENSIVE but not EXHAUSTIVE OCR-CORRECTIONS , Aflow  afloat  abroad  revealed  , Close  fast  tight  secret  reserved
LAYOUT for JUST THE SYNONYMS & ANTONYMS (NOT THE APPENDICES)., Far  away  apart  dispersed  aloof  adrift  about  distracted  confused  , Near  close  housed  collected  fast
Abrogate, Abolish  cancel  set aside  annul  repeal  expunge  rescind  , Enact  re-enact  confirm  enforce  continue  revive
V2, Abolition  repeal  discontinuance  disestablishment  , Institution  establishment  enactment  confirmation  continuance  sanction
Abrupt, Sudden  steep  precipitous  craggy  coarse  curt  blunt  violent  harsh  unceremonious  rugged  rough  , Undulating  easy  gliding  polished  smooth  blending  courteous
Wishing to have an extensive list of Synonyms and Antonyms for another, Decamp  bolt  depart  disappear  steal away  run off  hide  withdraw  retreat  , Show  emerge  appear
project  I settled on Fallows’ amazing publication. However  I could, Want  departure  Inattention  nonexistence  failure  separation  lack  nonappearance  distraction  , Presence  supply  appearance  existence  manifestation  evidence  attention  immanence  inherency  consideration
not find an OCR text which was clear of the many OCR-scan errors. I, Not present  gone away  elsewhere  inattentive  thoughtless  listless  preoccupied  , Present  in this place  here  attentive
did my own OCR  which joined many of the line-end hyphenated words, Keep away  depart  withdraw  , Be present  stay  remain  [See ABSCOND]
automatically  but which still resulted in a very large number of, Perfect  complete  unconditional  irrelative  irrespective  supreme  despotic  autocratic  certain  authoritative  unqualified  unequivocal  irresponsible  arbitrary  , Imperfect  incomplete  conditional  conditioned  contingent  relative  dependent  constitutional  dubious  accountable  responsible
nearly identical (to other OCR scans) errors. This is probably not, Acquit  release  exonerate  liberate  exempt  discharge  exculpate  pardon  forgive  free  clear  , Charge  accuse  compel  bind  obligate  convict  condemn  inculpate  impeach  oblige
the fault of the OCR software  but rather of the quality of the 19th, Dissonant  discordant  contrariant  repugnant  inconsonant  inharmonious  incompatible  inappropriate  impertinent  , Consonant  agreeable  consistent  harmonious  compatible  appropriate  pertinent  congruous  suitable  proper
Century source type and ink  which tended to be far from crisp. The, Swallow  drown  consume  imbibe  engross  drink in  suck up  engulf  monopolize  exhaust  , Eject  emit  exude  disgorge  dissipate  distract  distil  disperse
