The Project Gutenberg EBook of A Complete Dictionary of Synonyms and,,
Antonyms  by Samuel Fallows,,
Climax, Summit  height  consummation  acme  point  head  mered  ian  culmination  zenith  , Base  floor  bathos  anticlimax  depth  gulf  nadir
Climb, Ascend  mount  clamber  swarm  surmount  scale  escalade  soar  creep up  rise  , Descend  drop  fall  slip  tumble  swoop
Cling, Fasten  hold  adhere  embrace  stick  cleave  hang  twine  hug  , Drop  recede  secede  apostatize  abandon  relax  forego  swerve  surrender
Clip, Curtail  prune  contract  abridge  , Elongate  cherish  grow  nourish
Cloak, Conceal  disguise  mask  veil  hide  cover  palliate  screen  mitigate  extenuate  , Exhibit  propound  promulge  portray  aggravate  expose  demonstrate  reveal
Close -adj, Narrow  limited  restricted  condensed  packed  secret  compressed  solid  firm  compact  reserved  niggardly  shut  fast  dense  , Wide  open  ample  spacious  airy  unconfined  dispersed  rarefied  subtle  vaporous  patent  public  advertised  open-handed  liberal  frank
Close -v, Shut  conclude  stop  complete  , Open  initiate  conduct  protract
Clothe  v, Invest  robe  drape  dress  array  attire  cover  , Denude  strip  divest
Clothes  [See HABILIMENTS], Clothes  [See HABILIMENTS]    ,
Cloudy  [See MUGGY and OBSCURE], Cloudy  [See MUGGY and OBSCURE]    ,
Clownish, Bustic  boorish  bucolic  Boeotian  awkward  clumsy  cloddish  untutored  rude  , Polite  civil  urbane  affable  graceful  polished  refined  courtly  high-bred  intelligent  educated
Clumsy, Awkward  inexpert  uncouth  maladroit  botching  bungling  unskillful  unwieldly  unhandy  ill-shaped  , Neat  workmanlike  artistic  handy  skillful  clever  expert  adroit  dexterous
Cluster, Bunch  group  gathering  muster  throng  , Scattering  sprinkling  dispersion
Clutch r, Grasp  grab  seize  catch  grip  grapple with  snatch  pounce  , Liberate  release  emancipate
Coagulate, Mix  blend  fuse  coalesce  amalgamate  condense  , Rarefy  expand  dissipate  subtilize  discombine
Coadjutor, Assistant  ally  cooperator  accessory  accomplice  , Opponent  counteractor  antagonist  baffler  adversary
Coalesce, Harmonize  blend  mix  combine  join  unite  amalgamate  cohere  , Disagree  discomport  Coalition  SYN: Combination  consentaneity  compromise  consociation  union  alliance  league  compact  amalgamation  composition  confederacy  ANT: Dissociation  disruption  disagreement  dissentience
Coarse, Common  ordinary  indelicate  vulgar  gross  unrefined  immodest  rough  rude  unpolished  , Fine  refined gentle  polished  delicate  choice
Coax, Wheedle  fawn  flatter  call  ole  persuade  overcome  seduce  allure  circumvent  , Intimidate  coerce  impel  instigate  drive
Cobble, Patch  botch  bungle  clout  , Repair  manipulate  finedraw
Cobweb, Trifle  cipher  moonshine  prejudice  bugbear  phantasy  caprice  , Substance  verity  axiom  law  reality  perpetuity  institution  truth
Cockney, Londoner  citizen  swell  , Clodhopper  bumpkin  lout
Coddle, Spoil  humor  pamper  nurse  caress    ,
Codger, Gaffer  churl  curmudgeon  , Swell  fop  spendthrift  scapegrace  puppy
Codify, Summarize  digest  incorporate  embody  condense  , Expunge  abrogate  annul  disembody  disincorporate  rescind
Coerce, Restrain  inhibit  impel  compel  drive  counteract  check  constrain  force  confine  intimidate  , Permit  persuade  urge  instigate  encourage  liberate  induce  seduce  tempt
Coetaneous, Coeval  contemporary  synchronous  , Incoincident  incontemporaneous  anachronistic  asynchronous
Coeval  [See COETANEOUS], Coeval  [See COETANEOUS]    ,
Coexist, Concur  comport  accompany  coalesce  coincide  , Disconcur  discomport
Coexistent, Concurrent  coetaneous  contemporary  coincident  compatible  correspondent  correlative  , Discurrent  incontemporaneous  incompatible  adverse  repugnant  antagonistic
Coextension, Commensurateness  equality  parallelism  conterminousness  , Incommensurateness  inadequacy  inconterminousness  disparity  divergency  inequality
Coextensive  [See COEXTENSION], Coextensive  [See COEXTENSION]    ,
Cogent, Forcible  powerful  potent  strong  persuasive  influential  , Weak  ineffectual  powerless  feeble
Cogitate, Think  ruminate  reflect  meditate  brood  speculate  contemplate  ponder  muse  , Idle  maunder  dream
Cogitation  [See COGITATE], Cogitation  [See COGITATE]    ,
Cognizance, Notice  observation  recognition  knowledge  experience  , Inadvertence  neglect  ignorance  inexperience  oversight  connivance
Cognizant, Aware  informed  , Unaware  ignorant  uninformed
Cohere, Stick  adhere  conform  unite  coalesce  , Sever  separate  disunite  disintegrate
Coherent, Consecutive  consistent  complete  sensible  compact  logical  close  , Inconsecutive  rambling  disunited  inconsistent  discursive  loose  silly  illogical  aberrant
Cohibit, Prevent  hinder  curb  restrain  inhibit  , Indulge  permit  incite  instigate  encourage  urge
Coin, Fabricate  counterfeit  invent  , Misform  misconstrue
Coincide  [See AGREE], Coincide  [See AGREE]    ,
Coincidence, Chance  fortuity  casualty  concurrence  correspondence  contemporaneousness  commensurateness  harmony  agreement  consent  , Design  purpose  adaptation  synchronism  anachronism  disharmony  incommensurateness  discordance  variation  difference
Cold  [See FRIGID], Cold  [See FRIGID]    ,
Collate, Adduce  collect  compare  gather  induct  extract  cite  , Verify  identify  recognize  authenticate
Collateral, Indirect  related  connected  parallel  , Direct  linear  essential  integral
Colleague, Helper  companion  associate  ally  confederate  coadjutor  partner  assistant  adjutant  assessor  , co-opponent  corival  counteragent  co-antagonist  competitor  colluctator
Collect, Collate  gather  glean  sum  infer  learn  congregate  assemble  convoke  convene  muster  amass  garner  accumulate  , Classify  arrange  distribute  dispose  dispense  divide  sort  deal
Collected, Calm  composed  cool  attentive  self-possessed  firm  placid  serene  unmoved  , Excited  distracted  wandering  dazed  scared  bewildered
Collection, Assembly  assemblage  store  gathering  collation  , Dispersion  distribution  dispensation  division  arrangement  disposal  classification
Collision, Encounter  conflict  crash  opposition  impact  concussion  clash  , Interswerving  interdivergence  shave
Collocate, Place  locate  arrange  classify  tabulate  allocate  , Move  dislocate  distribute  dispense  disturb  disperse  confound  confuse  displace  misplace
Collocation  [See COLLOCATE], Collocation  [See COLLOCATE]    ,
Colloquy, Conference  consultation  conversation  council  confabulation  , Clamor  outcry  tumult  babel
Colluctation, Wrestling  contention  competition  , Coadjutorship  assistance  support  backing
Collusion, Connivance  accompliceship  confederacy  , Baffling  frustration  counteraction  defeat  discomfiture  discernment  betrayal  exposure  informership  traitorship
Color, Hue  tint  complexion  pretense  speciousness  tinge  garbling  falsification  distortion  perversion  varnish  , Achromatism  paleness  nakedness  openness  genuineness  transparency  truthfulness
Colorable, Specious  ostensible  deceptive  dressed  tinged  warped  , Genuine  candid  open  naked  transparent
Colossal  [See GIGANTIC], Colossal  [See GIGANTIC]    ,
Combat -v  [See RESIST], Combat -v  [See RESIST]    ,
Combat -n, Encounter  conflict  contention  struggle  contest  engagement  arms  battle  , Surrender  submission  mediation  reconciliation  truce  arbitration
Combination, Union  association  consortment  concert  confederacy  alliance  league  coalition  cabal  synthesis  co-operation  , Division  disunion  disruption  dissolution  dispersion  analysis  opposition  resistance  non-location  removal
Comely, Seemly  graceful  elegant  shapely  suitable  fitting  handsome  decent  becoming  , Unseemly  ungraceful  inelegant  unshapely
Comfortable, Snug  satisfied  pleasant  agreeable  cozy  commodious  convenient  consoled  , Uncomfortable  dissatisfied  troubled  miserable  wretched  cheerless  unhappy  disagreeable  forlorn
Comfortless  [See COMFORTABLE], Comfortless  [See COMFORTABLE]    ,
Comic  [See LUDICROUS], Comic  [See LUDICROUS]    ,
Comity, Urbanity  pleasantness  affability  blandness  , Rudeness  distantness  roughness  churlishness
Command -v, Order  direct  instruct  charge  bid  enjoin  , Supplicate  entreat  persuade  beg  petition  suggest  represent
Command -n  [See MANDATE], Command -n  [See MANDATE]    ,
Commanding  [See AUTHORITATIVE], Commanding  [See AUTHORITATIVE]    ,
Commemorate, Perpetuate  celebrate  solemnize  keep  , Ignore  drop  abolish  forget  obliviate
Commence, Begin  start  open  initiate  inaugurate  enter upon  set about  undertake  , Finish  terminate  conclude  consummate  complete
Commend, Praise  laud  extol  approve  recommend  encourage  applaud  eulogize  , Blame  censure  disapprove  discourage  denounce  condemn  discommend
Commendation  [See APPROBATION], Commendation  [See APPROBATION]    ,
Commensurate, Equal  adequate  sufficient  coextensive  conterminous  , Unequal  short  scant  inadequate  insufficient  incommensurate
Comment -v, Note  observe  interpret  illustrate  expound  dilate  explain  expatiate  criticise  , Confound  confuse  obscure  mystify  misinterpret  misapprehend  misconceive  misrepresent
Comment -n  [See OBSERVATION], Comment -n  [See OBSERVATION]    ,
Commentator, Interpreter  explainer  note-maker  scholiast  expositor  glossary  elucidator  , Mystifier  misinterpreter  puzzler  enigmatist  Oedipus
Commerce, Trade  traffic  merchandize  barter  exchange  business  communication  dealing  intercourse  , Stagnation  exclusion  inactivity  interdict  embargo  dullness
Commiserate, Despise  contemn  pity  compassionate  condole  sympathize  , Admire  envy  disregard  maltreat  molest  ignore  condemn
Commiseration  [See PITY], Commiseration  [See PITY]    ,
Commit, Perpetrate  execute  confide  [See DO]  relegate  intrust  assign  allocate  consign  , Miscommit  misconsign  misintrust  omit
Commodious, Ample  easy  convenient  spacious  suitable  comfortable  , Inconvenient  incommodious  narrow  ill-contrived  incommensurate  discommodious
Commodity, Staple  ware  article  stock  , Drug  offal  refuse  garbage
Common, Ordinary  familiar  habitual  everyday  frequent  coarse  vulgar  low  mean  universal  , Unusual  exceptional  scarce  rare  uncommon  refined  partial  infrequent  sporadic  egregious  excellent
Commotion, Agitation  disturbance  tumult  excitement  turmoil  perturbation  , Quiescence  calm  subsidence  pacification  tranquillity  mitigation  appeasement  soothing  allaying  moderating
Communicate, Adjoin  join  touch  reveal  disclose  divulge  promulgate  publish  attach  co-operate  unite  impart  tell  announce  declare  , Separate  disjoin  recede  stop  suppress  conceal  secrete  withhold  reserve
Communication  [See INTERCOURSE], Communication  [See INTERCOURSE]    ,
Communion, Participation  share  converse  agreement  partnership  comportionment  fellowship  association  intercourse  , Exclusion  deprivation  nonparticipation  disqualification  disconnection  alienation  disruption
Community, Aggregation  association  commonwealth  co-ordination  society  sympathy  order  class  brotherhood  fraternity  polity  unity  nationality  similarity  homogeneity  , Segregation  secession  independence  dissociation  disconnection  rivalry  hostility  animosity  estrangement  dissimilarity  contrariance  heterogeneity
Commute, Alter  mitigate  substitute  exchange  compensate  barter  equalize  balance  modify  , Misappropriation  misconvert  misappropriate  disallow  stabilitate  perpetuate  stereotype
Compact -n  [See AGREEMENT], Compact -n  [See AGREEMENT]    ,
Compact -adj, Dense  close  hard  solid  firm  pithy  concise  condensed  contracted  compendious  convenient  concentrated  consolidated  concrete  , Ductile  brittle  friable  diffuse  unshapely  straggling  sparse  broadcast  dispread
Companion, Associate  mate  comrade  colleague  ally  partner  accomplice  coadjutor  , Rival  toe  antagonist  adversary
Companionable, Pleasant  affable  sociable  convertible  friendly  easy  agreeable  gregarious  , Disagreeable  churlish  unsociable  distant  reserved  ungenial  cold  inaccessible  unneighborly  solitary
Companionship, Converse  acquaintance  familiarity  intimacy  friendliness  association  , Ignorance  distance  avoidance  estrangement  alienation  unfamiliarity  soitude  isolation
Company, Aggregation  association  union  sodality  order  fraternity  guild  corporation  society  community  assemblage  assembly  crew  posse  gang  troop  audience  congregation  concourse  , Rivalry  opposition  disqualification  antagonism  counteragency  competition  counterassociation
Compare, Assimilate  collate  parallel  , Contrast  oppose  dissociate  disconnect  pit  distinguish
Comparable, Resembling  approximate  similar  , Dissimilar  unlike  remote  inferior
Comparative, Relatively  proportionately  , Absolutely  actually  positively  superlatively
Comparison  [See LIKENESS], Comparison  [See LIKENESS]    ,
Compartment, Division  partition  allotment  sphere  space  , correlative  viz    anything of which it is a compartment
Compass -n, Area  enclosure  circuit  circumference  horizon  , Common  space  tract  expanse  boundlessness  limitlessness  indefiniteness
Compass -v, Encompass  surround  enclose  environ  circumscribe  embrace  achieve  effect  effectuate  consummate  complete  circumvent  , Expand  disband  unfold  amplify  display  dismiss  liberate  discard  fail  bungle  botch  misconceive  mismanage  misconstrue
Compassion, Pity  sympathy  condolence  tenderness  fellow-feeling  commiseration  pardon  , Hardheartedness  unforgiveness  cruelty  antipathy  denunciation  condemnation  vindictiveness  retaliation
Compassionate  [See KIND], Compassionate  [See KIND]    ,
Compatible, Consistent  consentaneous  harmonious  coexistent  correspondent  congruous  accordant  agreeable  congenial  consonant  , Incompatible  impossible  insupposable  inconsistent  discordant  hostile  adverse  antagonistic  incongruous  destructive  inter-repugnant  contradictory
Compeer, Equal  co-ordinate  peer  fellow  mate  compatriot  comrade  , Inferior  superior  solitary
Compel, Force  oblige  drive  constrain  necessitate  make  coerce  bind  , Persuade  convince  coax  allure  egg  induce  tempt  seduce  acquit  cozen  liberate  release
Compendious, Condensed  concentrated  brief  short  succinct  concise  abridged  commodious  convenient  useful  handy  comprehensive  compact  , Diffuse  vague  prolix  shapeless  cumbrous  undigested
Compendium  [See ABRIDGEMENT], Compendium  [See ABRIDGEMENT]    ,
Compensate, Atone  satisfy  remunerate  indemnity  reimburse  pay  requite  reward  recompense  make amends for  , Defraud  deprive  cheat  dissatisfy  injure  damage
Compensation, Remuneration  equivalent  wages  pay  allowance  restoration  restitution  satisfaction  atonement  expiation  indemnification  amercement  damages  , Deprivation  injury  nonpayment  gratuity  donation  fraudulence  damage
Compete, Contend  rival  cope  emulate  , Participate  share
Competence, Power  adequacy  sufficiency  wealth  ability  , Incompetence  weakness  inability  insufficiency  want  poverty  impecuniosity  indigence
Competent  [See ADEQUATE], Competent  [See ADEQUATE]    ,
Competition, Rivalry  emulation  race  two of a trade  , Association  colleagueship  alliance  jointstock  copartnership  confederation
Competitor, Rival  emulator  opponent  adversary  antagonist  , Participator  partner  auxiliary  colleague
Compilation, Collation  composition  patchwork  , Effusion  creation
Complacent, Pleased  satisfied  content  pleasant  affable  kind  mannerly  acquiescent  amiable  , Dissatisfied  irritated  churlish  unmannerly  morose  austere  grudging
Complain  [See GROWL], Complain  [See GROWL]    ,
Complaint, Murmur  discontent  repining  grievance  annoyance  remonstrance  expostulation  lamentation  sickness  disease  , Congratulation  rejoicing  approbation  complacency  boon  benefit  applause  jubilee  health  sanity
Complaisant  [See POLITE], Complaisant  [See POLITE]    ,
Complement, Completion  fulfilment  totality  supply  counterpart  correlative  , Deficiency  deficit  insufficiency  abatement  detraction  defalcation  diminution  drawback
Complete -v  [See ACCOMPLISH], Complete -v  [See ACCOMPLISH]    ,
Complete -adj, Full  perfect  finished  adequate  entire  consummate  total  exhaustive  thorough  accomplished  , Incomplete  partial  imperfect  unfinished  inadequate
Completely, Fully  totally  altogether  wholly  perfectly  entirely  thoroughly  , Partially  incompletely  Imperfectly
Completion  [See TINGE], Completion  [See TINGE]    ,
Complex, Intricate  multifarious  compound  complicated  multifold  involved  deep  many-sided  abstruse  close  tangled  obscure  , Obvious  plain  simple  direct  inobscure  superficial  vague  loose  unraveled
Complexion, Face  aspect  color  look  feature  appearance  character  hue  interpretation  indication  , Unindicativeness  concealment  reticence  inexpression  heart  core
Complexity -n  [See COMPLEX], Complexity -n  [See COMPLEX]    ,
Compliance, Yielding  submission  obedience  acquiescence  consent  ductility  docility  , Resistance  repulsion  disobedience  refusal  noncompliance
Compliant  [See SUBMISSIVE], Compliant  [See SUBMISSIVE]    ,
Complicated, Confused  intricate  involved  perplexed  entangled  , Clear  simple  uninvolved  lucid  unraveled
Compliment -v  [See PRAISE], Compliment -v  [See PRAISE]    ,
Compliment -n, Homage  courtesy  flattery  praise  , Insult  discourtesy  contempt
Complimentary, Commendatory  laudatory  panegyrical  eulogistic  encomiastic  lavish of praise  , Disparaging  condemnatory  damnatory  denunciatory  reproachful  abusive  objurgatory  vituperative  defamatory
Comply  [See YIELD], Comply  [See YIELD]    ,
Component, Ingredient  element  constituent  factor  content  rudiment  , Aggregate  sum  entirety  adventitious  compound  nonconstituent  foreign  heterogeneous
Comport, Demean  conduct  carry  behove  tally  consist  harmonize  match  agree  suit  coincide  , misdemean  misconduct  forget  vary  differ  disagree  contrast  militate
Compose, Construct  compile  soothe  allay  calm  put together  constitute  draw up  frame  form  pacify  mitigate  settle  adjust  write  , Analyze  awaken  stir  dissect  criticise  irritate  excite
Composed  [See COLLECTED and PLACID], Composed  [See COLLECTED and PLACID]    ,
Composition, Compound  conformation  structure  mixture  combination  compromise  adjustment  settlement  commutation  , Analysis  segregation  examination  criticism  discussion  disturbance  aggravation  perpetuation
Composure, Tranquility  sereneness  self-possession  sedateness  calm  repose  , Perturbation  restlessness  mobility  disturbance
Compound -v, Concert  mix  amalgamate  fuse  , Resolve  analyze
Compound -n, Mixture  combination  amalgamation  junction  unification  coalescence  , Decomposition  analysis  dissection  resolution
Comprehend, Comprise  embody  grasp  understand  conceive  apprehend  enclose  include  involve  embrace  , Exclude  except  misunderstand
Comprehension, Understanding  conception  capacity  perception  apprehension  , Misunderstanding  misconception
Comprehensive, Wide  ample  general  extensive  large  broad  all  embracing  generic  significant  capacious  inclusive  compendious  pregnant  , Narrow  restricted  shallow  exclusive  adversative  exceptive
Compress, Condense  compact  crowd  squeeze  contract  abridge  epitomize  summarize  , Expand  dilate  diffuse  colliquate  Compression  [See COMPRESS]
Comprise -v, Embrace  include  involve  contain  comprehend  imply  , Exclude  except  discard  bar  omit  reject
Comprobation, Induction  co-evidence  co-testimony  , disproof  counterevidence  refutation  rejoinder  intercontrariance
Compromise -v, Arbitrate  adjust  compose  settle  endanger  implicate  involve  , Aggravate  excite  foster  perpetuate  exempt  enfranchise  disengage  extricate  exonerate
Compulsion -n, For  ce  restraint  control  coercion  , Persuasion  coaxing  alluring  Inducing
Compunction, Contrition  penitence  misgiving  remorse  regret  sorrow  , Satisfaction  self-complacency  assurance
Compute, Calculate  reckon  count  number  appraise  value  estimate  cast up  rate  , Conjecture  guess  surmise
Comrade  [See COMPEER], Comrade  [See COMPEER]    ,
Concatenation, Linking  connection  stringing  continuity  , Discatenation  unlinking  unchanging  severance  intermission  disconnection
Concave, Hollow  scooped  pitted  excavated  retreating  alveolar  , Convex  tumular  protuberant  relievant  embossed  intumescent
Conceal, Hide  secrete  disguise  keep secret  dissemble  screen  suppress  , Reveal  manifest  exhibit  avow  confess  expose  promulgate  publish  divulge
Concede, Surrender  grant  allow  yield  admit  resign  , Refuse  withhold  deny  contradict  contest  claim  contend
Conceit, Idea  notion  thought  affectation  vanity  abstraction  imagination  conception  whim  vagary  egotism  , Substance  reality  verity  concretion  body  fact  naturalness  simplicity  unaffectedness  humility
Conceited, Egotistical  self-conceited  vain  , Self-deprecating  simple  unassuming  unaffected
Conceive, Imagine  apprehend  believe  suppose  design  think  understand  , Produce  express  propound  declare  execute  misconceive
Conception  [See CONCEIVE], Conception  [See CONCEIVE]    ,
Concentrate, assemble  converge  muster  congregate  convene  draw  conglomerate  condense  localize  centralize  , Disperse  scatter  dismiss  decentralize
Concentration  [See CONCENTRATE], Concentration  [See CONCENTRATE]    ,
Concern, Interest  regard  anxiety  matter  affair  institution  solicitude  moment  regret  sympathy  sorrow  , Indifference  disregard  carelessness  congratulation  chuckling
Concerning, About  of  relating  regarding  touching  (in relation to)  respecting    with respect to    with regard to  (with reference to)  relative to  , Omitting  disregarding
Concert -v  [See CONTRIVE], Concert -v  [See CONTRIVE]    ,
Concert -n, Onion  combination  concord  harmony  agreement  association  co-operation  , Dissociation  counteraction  opposition
Concession  [See CONCEPT], Concession  [See CONCEPT]    ,
Conciliate, Win  gain  enlist  pacify  make friendly  reconcile  propitiate  , Lose  estrange  excommunicate  eject  alienate  irritate  displease
Concise, Condensed  terse  pregnant  expressive  pointed  neat  compendious  succinct  summary  brief  short  , Diffuse  prolix  verbose  circumlocutory  rambling  discursive
Conclave, Council  assembly  bureau  synod  cabinet  caucus  , Crowd  multitude  assemblage  population  throng  populace  mob  concourse
Conclude, Close  terminate  complete  end  decide  finish  infer  deduce  determine  argue  , Begin  initiate  start  open  prolong  protract  perpetuate  doubt  dispute
Conclusion  [See CONCLUDE and TERMINATION], Conclusion  [See CONCLUDE and TERMINATION]    ,
Conclusive, Definitive  indisputable  final  positive  decisive  , Uncertain  dubious  questionable  hypothetical  supposititious  problematical  theoretical  vague  indeterminate  inconclusive
Concoct, Compound  prepare  mix  hatch  brew  , Spoil  upset  disconcoct  disconcert  mar  misprepare
Concoction, Brew  mixture  compound  , Crudity  rawness  ingredient
Concomitant, Accompanying  attending  attendant  synchronous  , Precedent  subsequent  diverse  unconnected  independent  irrelative
Concord, Harmony  accordance  agreement  peace  union  unity  unanimity  amity  , Discord  disagreement  variance  animosity
Concordance  [See CONCORD], Concordance  [See CONCORD]    ,
Concourse, Assembly  assemblage  crowd  throng  convergence  mob  , Cabinet  conclave  cabal  dispersion  desertion  solitude
Concrete, Firm  compact  consolidated  indurated  embodied  particularized  , Loose  sloppy  luteous  shifting  boggy  swampy  yielding  unresisting  abstract  generalize
Concur, Approve  acquiesce  assent  coincide  meet  converge  concentrate  agree  , Diverge  radiate  disagree  dissent  part  differ
Concussion  [See COLLISION and COMMOTION], Concussion  [See COLLISION and COMMOTION]    ,
Condemn, Blame  convict  reprove  cast  censure  denounce  doom  sentence  , Absolve  acquit  exonerate  pardon  justify  approve
Condense  [See ABRIDGE], Condense  [See ABRIDGE]    ,
Condescend, Stoop  descend  deign  vouchsafe  , Disdain  scorn  spurn
Condescension -n  [See CONDESCEND],  Affability  graciousness  favor  stooping  , Haughtiness  arrogance  pride  superciliousness  disdain  scorn
Condign, Deserved  merited  meet  just  adequate  , Undeserved  unmerited  scant  excessive
Condiment, Sauce  pickle  preserve  seasoning  , Gall  wormwood  ashes  aloe
Condition, State  case  mood  term  mode  qualification  requisite  stipulation  predicament  proviso  situation  circumstances  plight  , Relation  dependence  situation  circumstance  concession  fulfillment  adaptation
Conditionally, Provisionally  relatively  provided  hypothetical  contingently  , Absolutely  unconditionally  categorically  positively
Condole, Sympathize  console  commiserate  , Congratulate  exhilarate  disregard  rally  discompassionate  discommiserate
Condolence  [See CONDOLE], Condolence  [See CONDOLE]    ,
Condonation, Indulgence  excuse  amnesty  pardon  forgiveness  , Expiation  satisfaction  atonement
Conduce, Concur  contribute  avail  aid  tend  coincide  converge  assist  help  make for  conspire  lead  subserve  , Indispose  counteract  defeat  neutralize
Conducive  [See CONDUCE], Contributive  promotive  subsidiary  causative  effective  productive  , Preventive  counteractive  contrariant  repugnant  destructive
Conduct -v, Lead  bring  carry  transfer  direct  guide  control  manage  administer  , Mislead  miscarry  mismanage  misconduct  misadminister
Conduct -n  [See BEHAVIOR], Conduct -n  [See BEHAVIOR]    ,
Confabulation  [See COLLOQUY], Confabulation  [See COLLOQUY]    ,
Confection -n  [See CONCOCTION  CONDIMENT and COMPOUND Used of sweet compounds ], Sweetmeat  sugarplum  cake  condiment  , [See CONDIMENT]
Confederacy  Confederation, Alliance  treaty  league  union  association  , Disruption  secession  disunion
Confederate, Leagued  allied  united  combined  , Disunited  dissolved
Confederate -n  [See COMPANION], Confederate -n  [See COMPANION]    ,
Confer, Compare  collate  discuss  deliberate  converse  consult  give  present  , Dissociate  contrast  hazard  conjecture  withhold  withdraw
Conference, Discussion  discourse  consultation  parley  contravention  convocation  meeting  , Monologue  silence  [See CONVENTION]
Confess, Avow  aver  own  reveal  disclose  acknowledge  , Disaver  disavow  suppress  silentiate  deny
Confession, Creed  catechism  articles  doctrines  tenets  profession  declaration  subscription  , Heresy  apostacy  protest  condemnation  refutation  index  renunciation  abjuration
Confidant, Confessor  adviser  confederate  , Traitor  betrayer  rival
Confide, Trust  lean  hope  believe  depend  rely  , Doubt  distrust  disbelieve
Confidence, Trust  faith  belief  self-reliance  assurance  dependence  reliance  , Distrust  mistrust  doubt  misgiving
Confident, Positive  assured  sure  certain  impudent  bold  sanguine  , [See CERTAIN]
Confidential, Private  secret  trustworthy  intimate  , Public  open  patent  official  treacherous  insidious
Configuration, Shape  outline  delineation  form  figure  conformation  contour  , Shapelessness  amorphousness  formlessness  undelineation  contortion  distortion  deformity
Confine, Immure  limit  bound  imprison  circumscribe  restrict  enclose  narrow  incarcerate  bind  , Dilate  expand  extend  widen  unfasten  liberate  loosen  disenclose
Confined  [See CIRCUMSCRIBE], Confined  [See CIRCUMSCRIBE]    ,
Confirm, Strengthen  stabilitate  establish  substantiate  settle  prove  fix  perpetuate  sanction  corroborate  ratify  , Weaken  shake  upset  cancel  abrogate  repeal  annul  confute  refute
Confirmation  [See CONFIRM], Confirmation  [See CONFIRM]    ,
Confiscate, Seize  escheat  dis  possess  sequestrate  distrain  , Restore  release  refund
Conflagration, Ignition  fire  combustion  arson  incendiarism  , Extinction  smoulder  quenching
Conflict, Encounter  engagement  contest  battle  fight  combat  , Reconciliation  pacification  amity  arbitration
Conflicting, Adverse  opposed  opposing  dashing  discordant  irreconcilable  contradictory  , Harmonizing  consistent  consentaneous  congruous
Confluence, Conflux  meeting  concourse  convergence  concurrence  , Reflux  refluence  dispersion  overflow  diffluence
Conform, Agree  consent  harmonize  adapt  fit  tally  suit  obey  comply  unite  yield  , Disagree  dissent  vary  dissociate  secede  misfit  dissimilate  misadapt
Conformation  n  [See CONFORM and CONFIGURATION], Conformation  n  [See CONFORM and CONFIGURATION]    ,
Conformity  [See CONFORMATION], Conformity  [See CONFORMATION]    ,
Confound, Confuse  disorder  trouble  disarrange  intermix  abash  astound  mystify  obscure  stupefy  disconcert  mix  blend  intermingle  perplex  discompose  , Arrange  classify  order  allocate  distribute  dispense  unravel  enucleate  eliminate  elucidate  rally  enlighten
Confraternity  [See COMPANY], Confraternity  [See COMPANY]    ,
Confront, Oppose  face  encounter  resist  intimidate  menace  , Rally  encourage  abet  countenance
Confuse  [See CONFOUND], Confuse  [See CONFOUND]    ,
Confusion  [See ORDER], Confusion  [See ORDER]    ,
Confused, Abashed  embarrassed  perplexed  disconcerted  disorganized  promiscuous  chaotic  complex  involved  disarranged  disordered  , Unabashed  unembarrassed  systematic  unconfused  organized  arranged
Confute  [See REFUTE], Confute  [See REFUTE]    ,
Congeal, Freeze  benumb  congelate  , Thaw  relax  melt  chafe  dissolve
Congenial, Natural  concordant  consonant  grateful  sympathetic  kindred  , Unnatural  abhorrent  dissonant  disagreeable  ungrate ful  antagonistic  alien  dissimilar  uncongenial
Congenital, Coeval  coetaneous  natural  inherent  innate  immanent  ingrained  incarnate  connate  ingenerate  , Unnatural  uncongenial  acquired  habitual  extraneous  artificial  adscititious  adventitious  assumed
Congestion, Congeries  accumulation  glomeration  redundancy  plethora  , Dissipation  diffusion  clearance  evacuation  colliquation
Conglomerate  [See AGGLOMERATE], Conglomerate  [See AGGLOMERATE]    ,
Conglutinate  [See AGGLUTINATE], Conglutinate  [See AGGLUTINATE]    ,
Congratulate, Felicitate  , [See CONDOLE]
Congregate  [See AGGREGATE], Congregate  [See AGGREGATE]    ,
Congregation  [See AGGREGATION], Congregation  [See AGGREGATION]    ,
Congress, Parliament  council  conclave  assembly  synod  legislature  convention  , Cabal  conclave  mob
Congruous, Agreeing  harmonious  coherent  homogeneous  consonant  accordant  , Discordant  dissonant  incongruous  heterogeneous
Conjecture -v, guest  divination  hypothesis  theory  notion  surmise  supposition  , Computation  calculation  inference  reckoning  proof  deduction
Conjecture -n  [See SUPPOSE], Conjecture -n  [See SUPPOSE]    ,
Conjoin  [See CONCATENATE], Conjoin  [See CONCATENATE]    ,
Conjuncture, Crisis  turning-point  contingency  occasion  opportunity  exigency  emergency  , Arrangement  provision  ordainment  preparation  course
Conjure, Implore  importune  crave  entreat  beseech  supplicate  , Deprecate  protest  remonstrate  expostulate
Connect  [See UNITE], Connect  [See UNITE]    ,
Connection, Junction  conjunction  union  association  concatenation  relation  affinity  relevance  intercourse  communication  Unarm an  relationship  kindred  , Disconnection  disjunction  dissociation  independence  irrelevance  disunion
Connive, Wink  pretermit  pass  overlook  , Notice  visit  censure  investigate
Connubial, Conjugal  matrimonial  nuptial  , Single  celibate  illicit  adulterous
